,Periodo por días,Precio Real Max,Precio Estimado Max
0,2018-02-28,0.2184,0.2184
1,2018-03-01,0.2189,0.2184
2,2018-03-02,0.2201,0.2189
3,2018-03-03,0.2213,0.2201
4,2018-03-04,0.2221,0.2213
5,2018-03-05,0.2227,0.2221
6,2018-03-06,0.2226,0.2227
7,2018-03-07,0.2219,0.2226
8,2018-03-08,0.2228,0.2219
9,2018-03-09,0.2233,0.2228
10,2018-03-10,0.2235,0.2233
11,2018-03-11,0.2241,0.2235
12,2018-03-12,0.2248,0.2241
13,2018-03-13,0.2263,0.2248
14,2018-03-14,0.2267,0.2263
15,2018-03-15,0.2274,0.2267
16,2018-03-16,0.228,0.2274
17,2018-03-17,0.2276,0.228
