,Periodo por días,Precio Real Max
0,2018-03-03,0.0653
1,2018-03-04,0.0653
2,2018-03-05,0.0653
3,2018-03-06,0.0653
4,2018-03-07,0.0653
5,2018-03-08,0.0653
6,2018-03-09,0.0653
7,2018-03-10,0.0653
8,2018-03-11,0.0653
9,2018-03-12,0.0653
10,2018-03-13,0.0653
11,2018-03-14,0.0718
12,2018-03-15,0.0754
13,2018-03-16,0.0701
14,2018-03-17,0.0742
15,2018-03-18,0.0774
16,2018-03-19,0.0803
17,2018-03-20,0.0803
18,2018-03-21,0.0806
19,2018-03-22,0.0795
20,2018-03-23,0.0776
21,2018-03-24,0.0761
22,2018-03-25,0.076
23,2018-03-26,0.0747
24,2018-03-27,0.0721
